experiment_test,experiment_train,fold,model,participant,score,window
ATT,POS,22,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,23,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,24,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,25,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,26,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,27,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,28,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,29,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,30,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,31,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,32,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,33,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,34,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,35,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,36,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,37,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,38,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,39,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,40,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,41,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,42,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,43,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,44,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,45,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,46,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,47,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,48,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,49,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,50,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,51,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,52,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,53,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,54,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,55,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,56,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,57,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,58,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,59,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,60,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,61,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,62,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,63,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,64,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,65,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,66,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,67,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,68,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,69,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,70,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,71,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,72,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,73,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,74,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,75,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,76,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,77,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,78,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,79,RandomForestClassifier,BG,0.6458620383128141,0
ATT,POS,80,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,81,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,82,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,83,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,84,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,85,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,86,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,87,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,88,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,89,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,90,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,91,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,92,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,93,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,94,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,95,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,96,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,97,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,98,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,99,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,100,RandomForestClassifier,BG,0.6328947953242366,0
ATT,POS,1,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,2,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,3,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,4,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,5,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,6,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,7,LogisticRegression,EU,0.5978987955020223,0
ATT,POS,8,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,9,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,10,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,11,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,12,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,13,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,14,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,15,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,16,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,17,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,18,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,19,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,20,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,21,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,22,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,23,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,24,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,25,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,26,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,27,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,28,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,29,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,30,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,31,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,32,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,33,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,34,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,35,LogisticRegression,EU,0.5871427619005289,0
ATT,POS,36,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,37,LogisticRegression,EU,0.5942653006800303,0
ATT,POS,38,LogisticRegression,EU,0.5942653006800303,0
