"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","X"
"65",1,"left",1,0,1,0,1,3,13,6,2,0.871271362532,1,1,0.752492816753,2,0.810031558933,0.079934211,0.785714285714,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"66",2,"down",1,0,1,0,1,4,14,9,2,0.305948764189,2,1,0.800679766364,1,0.340464925388,0.079934211,0.8,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"67",2,"down",1,0,1,0,1,5,15,3,2,6.02262063485,2,1,0.553123302365,1,0.811257417619,0.079934211,0.8125,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"68",1,"left",1,0,1,0,1,6,16,4,2,8.8229388807,1,1,0.446605653504,1,0.858176157895,0.079934211,0.823529411765,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"69",1,"left",1,0,1,0,1,7,17,8,1,3.64686684148,1,1,0.423110670323,2,0.52877399116,0.079934211,0.833333333333,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"70",1,"left",1,0,1,0,1,8,18,2,1,0.353029976943,1,1,1.32899136547,1,0.540350732646,0.079934211,0.842105263158,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"71",2,"down",1,0,1,0,1,9,19,7,2,1.30587330304,2,1,0.481906841669,1,0.493429682336,0.079934211,0.85,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"72",2,"down",1,0,1,0,2,0,20,9,2,12.6931645673,2,1,0.693752856261,1,0.458117714004,0.079934211,0.857142857143,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"73",2,"down",1,0,1,0,2,1,21,7,1,0.447147356761,1,0,0.893622493275,1,0.540446599109,0.079934211,0.818181818182,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"74",1,"left",1,0,1,0,2,2,22,2,1,0.282452240985,2,0,0.893620953251,1,0.74048409868,0.079934211,0.782608695652,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"75",1,"left",1,0,1,0,2,3,23,8,1,0.317749579093,2,0,1.50537102438,1,0.540456224255,0.079934211,0.75,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"76",2,"down",1,0,1,0,2,4,24,1,1,0.587955553383,2,1,0.552824152805,1,0.3169761023,0.079934211,0.76,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"77",1,"left",1,0,1,0,2,5,25,4,1,0.353015346718,1,1,0.799025396142,1,0.411585904627,0.079934211,0.769230769231,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"78",1,"left",1,0,1,0,2,6,26,0,1,1.24706404149,2,0,0.576044626801,1,0.893399959883,0.079934211,0.740740740741,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"79",2,"down",1,0,1,0,2,7,27,5,1,0.283487136761,1,0,0.752406960444,1,0.352254190115,0.079934211,0.714285714286,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"80",1,"left",1,0,1,0,2,8,28,6,2,0.776547213463,1,1,0.529151296911,2,0.528525662374,0.079934211,0.724137931034,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"81",2,"down",1,0,1,0,2,9,29,3,2,1.44644895611,2,1,0.364912028082,1,0.528718165309,0.079934211,0.733333333333,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"82",1,"left",1,0,1,0,3,0,30,8,2,0.435373877275,1,1,0.552481112574,2,1.22281675684,0.079934211,0.741935483871,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"83",2,"down",1,0,1,0,3,1,31,1,2,0.623667542812,2,1,0.681789953887,2,0.893485816192,0.079934211,0.75,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"84",2,"down",1,0,1,0,3,2,32,3,2,0.458901200947,2,1,0.446578703093,1,0.246366795862,0.079934211,0.757575757576,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"85",1,"left",1,0,1,0,3,3,33,6,2,0.964718062127,1,1,0.823157949042,2,1.19916199622,0.079934211,0.764705882353,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"86",2,"down",1,0,1,0,3,4,34,9,2,0.435340381764,2,1,0.564268067266,1,0.328716086276,0.079934211,0.771428571429,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"87",2,"down",1,0,1,0,3,5,35,7,1,0.858885338706,2,1,0.411326795676,2,1.23479120939,0.079934211,0.777777777778,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"88",2,"down",1,0,1,0,3,6,36,5,2,0.482388099006,2,1,0.37604986288,2,0.55226435427,0.079934211,0.783783783784,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"89",1,"left",1,0,1,0,3,7,37,4,2,3.24685421329,2,0,0.387798316986,1,0.222869502646,0.079934211,0.763157894737,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"90",1,"left",1,0,1,0,3,8,38,2,1,0.341295383048,1,1,0.705365403297,1,0.246392591256,0.079934211,0.769230769231,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"91",1,"left",1,0,1,0,3,9,39,0,2,0.964714597074,1,1,0.470116036919,1,1.0581566766,0.079934211,0.775,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"92",1,"left",1,0,1,0,4,0,40,2,2,0.317777299515,1,1,0.623030358098,2,0.799324930709,0.079934211,0.780487804878,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"93",2,"down",1,0,1,0,4,1,41,3,1,1.6233191125,2,1,0.446589868263,2,0.634581304192,0.079934211,0.785714285714,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"94",1,"left",1,0,1,0,4,2,42,0,1,0.0359722533958,1,1,1.65735170633,1,0.847054108341,0.079934211,0.790697674419,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"95",2,"down",1,0,1,0,4,3,43,7,2,0.200141451156,2,1,0.564203001275,2,0.587601347983,0.079934211,0.795454545455,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"96",1,"left",1,0,1,0,4,4,44,6,2,0.27070378688,1,1,0.705353468114,1,0.422895837046,0.079934211,0.8,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"97",2,"down",1,0,1,0,4,5,45,9,1,0.600057057871,2,1,0.564251512014,2,1.36399186406,0.079934211,0.804347826087,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"98",2,"down",1,0,1,0,4,6,46,1,2,0.306006900075,2,1,0.705404288889,1,0.681008391974,0.079934211,0.808510638298,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"99",1,"left",1,0,1,0,4,7,47,8,2,3.58802061937,1,1,0.43474978276,1,0.517132953693,0.079934211,0.8125,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"100",1,"left",1,0,1,0,4,8,48,4,2,0.164812927573,1,1,0.564255362073,2,1.04633160633,0.079934211,0.816326530612,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"101",2,"down",1,0,1,0,4,9,49,5,2,0.600073998128,2,1,0.352596075327,1,0.458007987332,0.079934211,0.82,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"102",NA,"",1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"103",1,"left",2,0,2,0,0,0,0,4,1,0.470735126357,1,1,0.552230473753,2,0.399072058854,0.079934211,1,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
