fold,model,score,test,train,window
50,LogisticRegression,0.5785861713990814,POS,ATT,0
51,LogisticRegression,0.5802063698556696,POS,ATT,0
52,LogisticRegression,0.5815556033414216,POS,ATT,0
53,LogisticRegression,0.5835719234026846,POS,ATT,0
54,LogisticRegression,0.5863260080645162,POS,ATT,0
55,LogisticRegression,0.5889338598233053,POS,ATT,0
56,LogisticRegression,0.5831682090814942,POS,ATT,0
57,LogisticRegression,0.5852677028264098,POS,ATT,0
58,LogisticRegression,0.5864357462799317,POS,ATT,0
59,LogisticRegression,0.5813736766520097,POS,ATT,0
60,LogisticRegression,0.5834577196683175,POS,ATT,0
61,LogisticRegression,0.5775719088441558,POS,ATT,0
62,LogisticRegression,0.5872447524933284,POS,ATT,0
63,LogisticRegression,0.5856389014865205,POS,ATT,0
64,LogisticRegression,0.5845258038005772,POS,ATT,0
65,LogisticRegression,0.5825597510985926,POS,ATT,0
66,LogisticRegression,0.5841273180787587,POS,ATT,0
67,LogisticRegression,0.5801123532990552,POS,ATT,0
68,LogisticRegression,0.5857607091503179,POS,ATT,0
69,LogisticRegression,0.5864289257597126,POS,ATT,0
70,LogisticRegression,0.5785388805830536,POS,ATT,0
71,LogisticRegression,0.5796351172027707,POS,ATT,0
72,LogisticRegression,0.5881726914897016,POS,ATT,0
73,LogisticRegression,0.579527120185397,POS,ATT,0
74,LogisticRegression,0.5849716501953017,POS,ATT,0
75,LogisticRegression,0.5906311806078706,POS,ATT,0
76,LogisticRegression,0.5883118679570594,POS,ATT,0
77,LogisticRegression,0.5854563641328666,POS,ATT,0
78,LogisticRegression,0.5907838458262673,POS,ATT,0
79,LogisticRegression,0.587206634855797,POS,ATT,0
80,LogisticRegression,0.5920428220208875,POS,ATT,0
81,LogisticRegression,0.5833607847295779,POS,ATT,0
82,LogisticRegression,0.5821905763246393,POS,ATT,0
83,LogisticRegression,0.5882164775661065,POS,ATT,0
84,LogisticRegression,0.5821762642502192,POS,ATT,0
85,LogisticRegression,0.5927124732347484,POS,ATT,0
86,LogisticRegression,0.5843841694256847,POS,ATT,0
87,LogisticRegression,0.5848412205313628,POS,ATT,0
88,LogisticRegression,0.5806090241639725,POS,ATT,0
89,LogisticRegression,0.5854068607702898,POS,ATT,0
90,LogisticRegression,0.5858720982975335,POS,ATT,0
91,LogisticRegression,0.5920709787804491,POS,ATT,0
92,LogisticRegression,0.5870637505160092,POS,ATT,0
93,LogisticRegression,0.5826834222961179,POS,ATT,0
94,LogisticRegression,0.5845463127321949,POS,ATT,0
95,LogisticRegression,0.5944670283680076,POS,ATT,0
96,LogisticRegression,0.5838993503757386,POS,ATT,0
97,LogisticRegression,0.5882506189676677,POS,ATT,0
98,LogisticRegression,0.583675983277836,POS,ATT,0
99,LogisticRegression,0.5829064648372599,POS,ATT,0
100,LogisticRegression,0.583805199811539,POS,ATT,0
1,RandomForestClassifier,0.5868733713580393,POS,ATT,0
2,RandomForestClassifier,0.5816427387893788,POS,ATT,0
3,RandomForestClassifier,0.5826519540622892,POS,ATT,0
4,RandomForestClassifier,0.5854952865850634,POS,ATT,0
5,RandomForestClassifier,0.5810188629787578,POS,ATT,0
6,RandomForestClassifier,0.5841611370290216,POS,ATT,0
7,RandomForestClassifier,0.579513925145815,POS,ATT,0
8,RandomForestClassifier,0.5825572254512382,POS,ATT,0
9,RandomForestClassifier,0.5813577162610506,POS,ATT,0
10,RandomForestClassifier,0.587716592939514,POS,ATT,0
11,RandomForestClassifier,0.5822085052393434,POS,ATT,0
12,RandomForestClassifier,0.5897337251029988,POS,ATT,0
13,RandomForestClassifier,0.5854067027361329,POS,ATT,0
14,RandomForestClassifier,0.5836169756967984,POS,ATT,0
15,RandomForestClassifier,0.5853963615895772,POS,ATT,0
16,RandomForestClassifier,0.5901102398272436,POS,ATT,0
17,RandomForestClassifier,0.5818099435762905,POS,ATT,0
18,RandomForestClassifier,0.5825431779072836,POS,ATT,0
19,RandomForestClassifier,0.5840729060313858,POS,ATT,0
20,RandomForestClassifier,0.5887970586085848,POS,ATT,0
21,RandomForestClassifier,0.5871837595935383,POS,ATT,0
22,RandomForestClassifier,0.5778863541230852,POS,ATT,0
23,RandomForestClassifier,0.5892553592459108,POS,ATT,0
24,RandomForestClassifier,0.5860731446884743,POS,ATT,0
25,RandomForestClassifier,0.5841781791655191,POS,ATT,0
26,RandomForestClassifier,0.5824623270066224,POS,ATT,0
27,RandomForestClassifier,0.5795643158023012,POS,ATT,0
28,RandomForestClassifier,0.5895094472805192,POS,ATT,0
29,RandomForestClassifier,0.5849740113299555,POS,ATT,0
30,RandomForestClassifier,0.583798312037354,POS,ATT,0
31,RandomForestClassifier,0.5873891244455971,POS,ATT,0
32,RandomForestClassifier,0.5890950378989815,POS,ATT,0
33,RandomForestClassifier,0.5807144105453478,POS,ATT,0
34,RandomForestClassifier,0.5841279788877529,POS,ATT,0
