awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
,,,ATT,POS,50.5,LogisticRegression,SO,0.5151108239348379,,3
,,,ATT,POS,50.5,LogisticRegression,SP,0.5283222163865542,,3
,,,POS,ATT,50.5,LogisticRegression,TJ,0.53525390625,,3
,,,POS,ATT,50.5,LogisticRegression,TS,0.5035549246505026,,3
,,,ATT,POS,50.5,LogisticRegression,WT,0.47326507466448203,,3
,,,POS,ATT,50.5,LogisticRegression,WT,0.5196203344281876,,3
,,,ATT,POS,50.5,LogisticRegression,YS,0.49366845459708464,,3
,,,POS,ATT,50.5,RandomForestClassifier,AC,0.5059814588862752,,3
,,,ATT,POS,50.5,RandomForestClassifier,AS,0.5304420271629787,,3
,,,ATT,POS,50.5,RandomForestClassifier,BG,0.43878785205721127,,3
,,,POS,ATT,50.5,RandomForestClassifier,CL,0.5319267914737204,,3
,,,ATT,POS,50.5,RandomForestClassifier,EU,0.5339235364396662,,3
,,,POS,ATT,50.5,RandomForestClassifier,FW,0.5050840837136631,,3
,,,POS,ATT,50.5,RandomForestClassifier,HB,0.5169437352920205,,3
,,,ATT,POS,50.5,RandomForestClassifier,IK,0.45751164413985584,,3
,,,ATT,POS,50.5,RandomForestClassifier,JD,0.48781677565392345,,3
,,,ATT,POS,50.5,RandomForestClassifier,JZ,0.5011381712883929,,3
,,,ATT,POS,50.5,RandomForestClassifier,KK,0.5829733606557373,,3
,,,POS,ATT,50.5,RandomForestClassifier,KK,0.4987428398012214,,3
,,,ATT,POS,50.5,RandomForestClassifier,KS,0.4854501937399352,,3
,,,POS,ATT,50.5,RandomForestClassifier,LM,0.49589056174089097,,3
,,,POS,ATT,50.5,RandomForestClassifier,MC,0.542281676744344,,3
,,,POS,ATT,50.5,RandomForestClassifier,MP1,0.5578631792996661,,3
,,,POS,ATT,50.5,RandomForestClassifier,MP2,0.6035028116213682,,3
,,,POS,ATT,50.5,RandomForestClassifier,NN,0.49957068642372826,,3
,,,ATT,POS,50.5,RandomForestClassifier,OE,0.5364988995786966,,3
,,,ATT,POS,50.5,RandomForestClassifier,OS,0.5023826114649674,,3
,,,ATT,POS,50.5,RandomForestClassifier,PC,0.49163446815026524,,3
,,,ATT,POS,50.5,RandomForestClassifier,RL,0.44743656156156164,,3
,,,POS,ATT,50.5,RandomForestClassifier,RP,0.5481274764225583,,3
,,,POS,ATT,50.5,RandomForestClassifier,SD,0.46404239004629616,,3
,,,ATT,POS,50.5,RandomForestClassifier,SO,0.5207504438178786,,3
,,,ATT,POS,50.5,RandomForestClassifier,SP,0.5286878939075623,,3
,,,POS,ATT,50.5,RandomForestClassifier,TJ,0.5271278916396104,,3
,,,POS,ATT,50.5,RandomForestClassifier,TS,0.5001861874041499,,3
,,,ATT,POS,50.5,RandomForestClassifier,WT,0.47336550941969596,,3
,,,POS,ATT,50.5,RandomForestClassifier,WT,0.5149156464616303,,3
,,,ATT,POS,50.5,RandomForestClassifier,YS,0.49332592919795587,,3
,,,POS,ATT,50.5,LogisticRegression,AC,0.45766607152234406,,4
,,,ATT,POS,50.5,LogisticRegression,AS,0.5034200196914995,,4
,,,ATT,POS,50.5,LogisticRegression,BG,0.3867439223751515,,4
,,,POS,ATT,50.5,LogisticRegression,CL,0.44493951612903226,,4
,,,ATT,POS,50.5,LogisticRegression,EU,0.4729778798818516,,4
